WARNING 2022-08-04 17:18:10,893 log 21196 14864 Not Found: /media/uploads/blog/2022/07/23/blog_14.jpeg
WARNING 2022-08-04 17:18:11,565 log 21196 14864 Not Found: /media/uploads/tx/2022/07/28/tx_6.jpeg
WARNING 2022-08-04 17:18:11,568 log 21196 24296 Not Found: /media/uploads/blog/2022/07/23/blog_6.jpeg
WARNING 2022-08-04 17:18:11,572 log 21196 24656 Not Found: /media/uploads/tx/2022/07/28/tx_1.jpeg
WARNING 2022-08-04 17:18:11,655 log 21196 24296 Not Found: /media/uploads/tx/2022/07/28/tx_2.jpeg
WARNING 2022-08-04 17:18:11,657 log 21196 24656 Not Found: /media/uploads/tx/2022/07/28/tx_4.jpeg
WARNING 2022-08-04 17:18:11,921 log 21196 24656 Not Found: /static/css/editormd.min.css
WARNING 2022-08-04 17:18:11,925 log 21196 24296 Not Found: /static/css/editormd.preview.css
WARNING 2022-08-04 17:18:11,932 log 21196 14864 Not Found: /static/css/styles.css
WARNING 2022-08-04 17:18:11,936 log 21196 14016 Not Found: /static/plugins/layer/layer.js
WARNING 2022-08-04 17:18:11,942 log 21196 20040 Not Found: /static/plugins/bootstrap-5.1.3/js/bootstrap.min.js
WARNING 2022-08-04 17:18:11,947 log 21196 20424 Not Found: /static/plugins/jq/jquery-3.6.0.min.js
WARNING 2022-08-04 17:18:11,951 log 21196 24656 Not Found: /static/js/scripts.js
WARNING 2022-08-04 17:18:11,954 log 21196 24296 Not Found: /static/js/editormd.min.js
WARNING 2022-08-04 17:18:11,958 log 21196 14864 Not Found: /static/js/marked.min.js
WARNING 2022-08-04 17:18:11,961 log 21196 14016 Not Found: /static/js/prettify.min.js
WARNING 2022-08-04 17:18:11,964 log 21196 20040 Not Found: /static/js/underscore.min.js
WARNING 2022-08-04 17:18:11,972 log 21196 20424 Not Found: /static/js/sequence-diagram.min.js
WARNING 2022-08-04 17:18:11,976 log 21196 24656 Not Found: /static/js/flowchart.min.js
WARNING 2022-08-04 17:18:11,980 log 21196 14864 Not Found: /static/js/jquery.flowchart.min.js
WARNING 2022-08-04 17:18:11,983 log 21196 24296 Not Found: /static/ckeditor/ckeditor-init.js
WARNING 2022-08-04 17:18:11,992 log 21196 20040 Not Found: /static/img/index_1.gif
WARNING 2022-08-04 17:18:11,992 log 21196 14016 Not Found: /static/ckeditor/ckeditor/ckeditor.js
WARNING 2022-08-04 17:18:11,998 log 21196 20424 Not Found: /media/uploads/blog/blog.jpeg
WARNING 2022-08-04 17:18:12,004 log 21196 24656 Not Found: /media/uploads/tx/2022/07/28/tx_6.jpeg
WARNING 2022-08-04 17:18:12,009 log 21196 24296 Not Found: /media/uploads/blog/2022/07/23/blog_14.jpeg
WARNING 2022-08-04 17:18:12,013 log 21196 20040 Not Found: /media/uploads/blog/2022/07/23/blog_6.jpeg
WARNING 2022-08-04 17:18:12,018 log 21196 14864 Not Found: /media/uploads/tx/2022/07/28/tx_1.jpeg
WARNING 2022-08-04 17:18:12,022 log 21196 14016 Not Found: /media/uploads/tx/2022/07/28/tx_4.jpeg
WARNING 2022-08-04 17:18:12,025 log 21196 20424 Not Found: /media/uploads/tx/2022/07/28/tx_2.jpeg
WARNING 2022-08-04 17:18:12,199 log 21196 20424 Not Found: /static/img/favicon.ico
WARNING 2022-08-04 17:18:39,192 log 21196 20424 Not Found: /media/uploads/tx/2022/07/28/tx_6.jpeg
WARNING 2022-08-04 17:18:39,195 log 21196 14864 Not Found: /media/uploads/blog/2022/07/23/blog_6.jpeg
WARNING 2022-08-04 17:18:39,199 log 21196 14016 Not Found: /media/uploads/blog/2022/07/23/blog_14.jpeg
WARNING 2022-08-04 17:18:39,205 log 21196 20424 Not Found: /media/uploads/tx/2022/07/28/tx_1.jpeg
